科目区分,授業科目,単位,履修年次,備考
コア科目,社会情報ナビゲーション,2,1,
コア科目,社会科学概論,2,1,
コア科目,情報科学概論,2,1,
コア科目,人間科学概論,2,1,
コア科目,統計入門,2,1,
コア科目,コンピューティング実習,2,1,
コア科目,社会情報特別講義,2,2,
基礎科目,数理情報Ⅰ,2,1,
基礎科目,プログラミング基礎,2,2,
基礎科目,確率統計Ⅰ,2,2・3,
基礎科目,データ分析,2,2・3,
基礎科目,社会統計,2,2・3,
基礎科目,社会調査法Ⅰ,2,2・3・4,※
基礎科目,プロジェクトマネジメント,2,2・3・4,※
基礎科目,認知科学,2,2・3・4,（数理系）
基礎科目,社会数理入門Ⅱ,2,1,
基礎科目,社会数理Ⅰ,2,1・2,
演習科目,プロジェクト演習入門,2,2,
演習科目,プロジェクト演習Ⅰ,2,2,
演習科目,プロジェクト演習Ⅱ,2,3,
演習科目,プロジェクト演習Ⅲ,2,3,
演習科目,ゼミナールⅠ,2,3,
演習科目,ゼミナールⅡ,2,3,
演習科目,特定課題演習/研究Ⅰ,1,4,
演習科目,特定課題演習/研究Ⅱ,1,4,
演習科目,卒業研究Ⅰ,3,4,
演習科目,卒業研究Ⅱ,3,4,
リエゾン科目,数理情報Ⅱ,2,1,
リエゾン科目,社会数理Ⅱ,2,1・2,
リエゾン科目,確率統計Ⅱ,2,2,
リエゾン科目,データサイエンス・AI 概論,2,2,
リエゾン科目,社会統計演習,2,2・3,
リエゾン科目,データ分析演習,2,2・3,
リエゾン科目,社会学,2,2・3・4,
リエゾン科目,情報社会論,2,2・3・4,
リエゾン科目,情報デザイン,2,2・3・4,
リエゾン科目,システム分析・設計基礎,2,2・3・4,
リエゾン科目,合理的思考と社会行動,2,2・3・4,
リエゾン科目,計算社会科学,2,2・3・4,
リエゾン科目,ヒューマンインタフェース,2,2・3・4,
リエゾン科目,社会心理学,2,2・3・4,
リエゾン科目,学習と教育の科学,2,2・3・4,
リエゾン科目,リエゾン特別講義 A,2,2・3・4,
リエゾン科目,社会調査実習Ⅰ,2,3・4,※
リエゾン科目,社会調査実習Ⅱ,2,3・4,※
リエゾン科目,意思決定論,2,3・4,※
リエゾン科目,地域政策論,2,3・4,※
リエゾン科目,マーケティング論,2,3・4,
リエゾン科目,エネルギー経済論,2,3・4,
リエゾン科目,情報社会と法,2,3・4,
リエゾン科目,情報倫理,2,3・4,
リエゾン科目,情報政策,2,3・4,
リエゾン科目,情報産業論,2,3・4,
リエゾン科目,リエゾン特別講義Ｂ,2,3・4,
リエゾン科目,Advanced Test-Taking Skills,2,3・4,
エリア社会科目,経済分析,2,2・3,
エリア社会科目,現象の数理,2,2・3,
エリア社会科目,社会数理Ⅲ,2,2・3,
エリア社会科目,マクロ経済学Ⅰ,2,2・3,
エリア社会科目,ミクロ経済学Ⅰ,2,2・3,
エリア社会科目,マクロ経済学Ⅱ,2,2・3,
エリア社会科目,ミクロ経済学Ⅱ,2,2・3,
エリア社会科目,経営学,2,2・3・4,
エリア社会科目,会計学,2,2・3・4,
エリア社会科目,金融論,2,2・3・4,
エリア社会科目,証券市場Ⅰ,2,2・3・4,
エリア社会科目,証券市場Ⅱ,2,2・3・4,
エリア社会科目,経営戦略論,2,2・3・4,
エリア社会科目,社会調査法Ⅱ,2,2・3・4,
エリア社会科目,現代社会論,2,3・4,
エリア社会科目,資源循環論,2,3・4,
エリア社会科目,経済政策,2,3・4,
エリア社会科目,公共経済学,2,3・4,
エリア社会科目,計量経済学Ⅰ,2,3・4,
エリア社会科目,計量経済学Ⅱ,2,3・4,
エリア社会科目,経営分析,2,3・4,
エリア社会科目,コーポレートファイナンス,2,3・4,
エリア社会科目,コーポレートガバナンス,2,3・4,
エリア社会科目,インベストメント,2,3・4,
エリア社会科目,デリバティブズ,2,3・4,
エリア社会科目,環境情報論,2,3・4,※
エリア社会科目,Business English,2,3・4,※
エリア情報科目,離散数学,2,2・3・4,
エリア情報科目,数理情報Ⅲ,2,2・3・4,
エリア情報科目,情報科学基礎,2,2・3・4,
エリア情報科目,プログラミング基礎演習,2,2・3・4,
エリア情報科目,データベース基礎,2,2・3・4,
エリア情報科目,コンピュータネットワーク基礎,2,2・3・4,
エリア情報科目,人工知能基礎,2,3,
エリア情報科目,情報科学総合演習Ａ,2,3・4,
エリア情報科目,システム分析・設計基礎演習,2,3・4,
エリア情報科目,データ構造とアルゴリズム,2,3・4,
エリア情報科目,情報セキュリティ,2,3・4,
エリア情報科目,ウェブテクノロジー,2,3・4,
エリア情報科目,ウェブテクノロジー演習,2,3・4,
エリア情報科目,コンピュータグラフィックス,2,3・4,
エリア情報科目,数理代数Ⅰ,2,3・4,
エリア情報科目,ソフトウェア工学,2,3・4,※
エリア情報科目,ウェブ論,2,3・4,※
エリア情報科目,インフラ構築演習,2,3・4,※
エリア情報科目,プログラミング応用,2,3・4,※
エリア情報科目,プログラミング応用演習,2,3・4,※
エリア情報科目,機械学習Ⅰ,2,3・4,※
エリア情報科目,機械学習Ⅱ,2,3・4,※
エリア情報科目,情報システムＡ,2,3・4,
エリア情報科目,情報システムＢ,2,3・4,
エリア情報科目,情報科学総合演習Ｂ,2,3・4,
エリア情報科目,情報科学総合演習Ｃ,2,3・4,
エリア情報科目,Current English,2,3・4,
エリア人間科目,構造幾何入門,2,2・3,
エリア人間科目,構造幾何Ⅰ,2,2・3,
エリア人間科目,人間科学研究法,2,2・3,
エリア人間科目,心理学演習,2,2・3・4,
エリア人間科目,認知心理学,2,2・3・4,
エリア人間科目,コミュニティと社会変革の心理学,2,2・3・4,
エリア人間科目,発達心理学,2,2・3・4,
エリア人間科目,人間科学特別講義Ⅰ,2,2・3・4,
エリア人間科目,人間科学特別講義Ⅱ,2,2・3・4,
エリア人間科目,人間科学測定法,2,2・3・4,
エリア人間科目,コミュニケーション心理学,2,2・3・4,
エリア人間科目,グループダイナミクス論,2,2・3・4,
エリア人間科目,スポーツ科学概論,2,2・3・4,
エリア人間科目,スポーツ・パフォーマンス論,2,3,
エリア人間科目,構造幾何Ⅱ,2,3・4,
エリア人間科目,コーチングの理論と実践,2,3・4,
エリア人間科目,Presentation and Pronunciation Skills,2,3・4,
専門自由科目,社会数理入門Ⅰ,2,1,
専門自由科目,数理解析基礎,2,2,
専門自由科目,学習環境デザイン実践Ⅰ,2,2・3,
専門自由科目,学習環境デザイン実践Ⅱ,2,2・3,
専門自由科目,アクティブラーニング演習,2,2・3・4,
専門自由科目,インターンシップ,2,2・3・4,
専門自由科目,情報と職業,2,2・3・4,
専門自由科目,集合と位相,2,3,
専門自由科目,数理代数Ⅱ,2,3,
専門自由科目,数理代数Ⅲ,2,3,
専門自由科目,構造幾何Ⅲ,2,3,
専門自由科目,構造幾何特別演習,2,3,
専門自由科目,数理解析Ⅰ,2,3,
専門自由科目,数理解析Ⅱ,2,3,
専門自由科目,数理解析Ⅲ,2,3,
